dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.008207,23.908437,0.000656,0.065574,3.278689,163.934426,6.283068
0.020000,0.008232,23.908437,0.000681,0.001279,-3.214754,-324.672121,6.283096
0.020000,0.008283,23.908437,0.000732,0.002539,0.063031,163.889261,6.283151
0.020000,0.012996,23.908437,0.005446,0.235673,11.656680,579.682428,0.000048
0.020000,0.023587,23.908438,0.016036,0.529525,14.692593,151.795643,0.000156
0.020000,0.036822,23.908441,0.029271,0.661769,6.612210,-404.019145,0.000288
0.020000,0.052701,23.908447,0.045150,0.793925,6.607814,-0.219774,0.000442
0.020000,0.071220,23.908457,0.063669,0.925971,6.602282,-0.276615,0.000615
0.020000,0.092378,23.908472,0.084827,1.057893,6.596128,-0.307715,0.000806
0.020000,0.116171,23.908493,0.108621,1.189668,6.588717,-0.370543,0.001010
0.020000,0.142597,23.908523,0.135046,1.321281,6.580645,-0.403601,0.001224
0.020000,0.171651,23.908562,0.164101,1.452718,6.571861,-0.439175,0.001445
0.020000,0.203330,23.908611,0.195780,1.583954,6.561815,-0.502341,0.001668
0.020000,0.237630,23.908672,0.230079,1.714978,6.551191,-0.531202,0.001887
0.020000,0.274545,23.908746,0.266995,1.845768,6.539491,-0.584961,0.002100
0.020000,0.314071,23.908833,0.306521,1.976309,6.527053,-0.621904,0.002298
0.020000,0.356203,23.908934,0.348652,2.106580,6.513552,-0.675066,0.002478
0.020000,0.400934,23.909048,0.393384,2.236568,6.499406,-0.707303,0.002632
0.020000,0.448259,23.909176,0.440709,2.366251,6.484166,-0.761987,0.002755
0.020000,0.498171,23.909315,0.490621,2.495614,6.468143,-0.801167,0.002838
0.020000,0.550663,23.909466,0.543114,2.624639,6.451222,-0.846030,0.002875
0.020000,0.605729,23.909624,0.598180,2.753306,6.433345,-0.893859,0.002857
0.020000,0.663361,23.909786,0.655812,2.881597,6.414570,-0.938743,0.002778
0.020000,0.723551,23.909949,0.716002,3.009494,6.394845,-0.986255,0.002627
0.020000,0.786290,23.910107,0.778741,3.136976,6.374105,-1.036979,0.002396
0.020000,0.851570,23.910254,0.844022,3.264028,6.352620,-1.074287,0.002075
0.020000,0.919383,23.910381,0.911834,3.390623,6.329729,-1.144560,0.001655
0.020000,0.989718,23.910479,0.982169,3.516745,6.306100,-1.181439,0.001126
0.020000,1.062565,23.910538,1.055017,3.642370,6.281270,-1.241511,0.000475
0.020000,1.137914,23.910545,1.130366,3.767472,6.255096,-1.308688,6.282878
0.020000,1.215755,23.910486,1.208207,3.892041,6.228454,-1.332073,6.281951
0.020000,1.296076,23.910344,1.288528,4.016034,6.199640,-1.440731,6.280868
0.020000,1.378864,23.910101,1.371316,4.139432,6.169917,-1.486156,6.279616
0.020000,1.464107,23.909737,1.456560,4.262212,6.138986,-1.546542,6.278181
0.020000,1.551793,23.909228,1.544247,4.384340,6.106367,-1.630911,6.276549
0.020000,1.641906,23.908548,1.634363,4.505785,6.072262,-1.705290,6.274704
0.020000,1.734432,23.907669,1.726893,4.626509,6.036209,-1.802647,6.272632
0.020000,1.829355,23.906559,1.821823,4.746477,5.998378,-1.891526,6.270316
0.020000,1.926659,23.905182,1.919136,4.865676,5.959986,-1.919634,6.267738
0.020000,2.026325,23.903502,2.018816,4.984017,5.917040,-2.147254,6.264880
0.020000,2.128335,23.901476,2.120846,5.101494,5.873841,-2.159971,6.261724
0.020000,2.232668,23.899057,2.225207,5.218047,5.827657,-2.309186,6.258248
0.020000,2.339301,23.896196,2.331879,5.333611,5.778179,-2.473899,6.254433
0.020000,2.448213,23.892839,2.440843,5.448177,5.728320,-2.492971,6.250254
0.020000,2.559377,23.888925,2.552076,5.561628,5.672544,-2.788807,6.245689
0.020000,2.672765,23.884392,2.665554,5.673926,5.614909,-2.881724,6.240712
0.020000,2.788348,23.879170,2.781255,5.785031,5.555234,-2.983750,6.235296
0.020000,2.906092,23.873183,2.899151,5.894808,5.488840,-3.319705,6.229414
0.020000,3.025962,23.866352,3.019216,6.003240,5.421622,-3.360930,6.223035
0.020000,3.147920,23.858589,3.141420,6.110224,5.349222,-3.619972,6.216128
0.020000,3.271922,23.849801,3.265733,6.215647,5.271153,-3.903479,6.208659
0.020000,3.397921,23.839887,3.392122,6.319460,5.190649,-4.025177,6.200592
0.020000,3.525867,23.828740,3.520553,6.421532,5.103580,-4.353445,6.191890
0.020000,3.655703,23.816245,3.650988,6.521775,5.012126,-4.572712,6.182513
0.020000,3.787367,23.802280,3.783391,6.620112,4.916862,-4.763211,6.172418
0.020000,3.920789,23.786714,3.917718,6.716388,4.813821,-5.152033,6.161561
0.020000,4.055897,23.769408,4.053929,6.810548,4.707975,-5.292321,6.149896
0.020000,4.192605,23.750214,4.191979,6.902457,4.595463,-5.625598,6.137374
0.020000,4.330824,23.728975,4.331820,6.992050,4.479669,-5.789670,6.123943
0.020000,4.470453,23.705529,4.473404,7.079219,4.358417,-6.062633,6.109551
0.020000,4.611384,23.679699,4.616682,7.163911,4.234604,-6.190614,6.094144
0.020000,4.752917,23.651426,4.761011,7.216459,2.627431,-80.358686,6.077736
0.020000,4.893788,23.620807,4.905172,7.208039,-0.421026,-152.422826,6.060427
0.020000,5.033340,23.587873,5.048558,7.169284,-1.937718,-75.834606,6.042272
0.020000,5.171497,23.552546,5.191160,7.130103,-1.959063,-1.067247,6.023260
0.020000,5.308182,23.514749,5.332974,7.090698,-1.970241,-0.558915,6.003387
0.020000,5.443315,23.474411,5.473999,7.051279,-1.970949,-0.035403,5.982653
0.020000,5.576818,23.431463,5.614241,7.012066,-1.960656,0.514665,5.961062
0.020000,5.708612,23.385840,5.753708,6.973358,-1.935433,1.261164,5.938625
0.020000,5.838619,23.337481,5.892417,6.935466,-1.894560,2.043657,5.915360
0.020000,5.966762,23.286331,6.030392,6.898736,-1.836498,2.903099,5.891292
0.020000,6.092969,23.232340,6.167663,6.863537,-1.759956,3.827073,5.866455
0.020000,6.217170,23.175462,6.304268,6.830257,-1.663997,4.797970,5.840891
0.020000,6.339300,23.115659,6.440254,6.799295,-1.548136,5.793060,5.814651
0.020000,6.459298,23.052895,6.575675,6.771046,-1.412435,6.785049,5.787793
0.020000,6.577110,22.987144,6.710593,6.745895,-1.257571,7.743162,5.760385
0.020000,6.692685,22.918382,6.845076,6.724184,-1.085542,8.601489,5.732504
0.020000,6.805981,22.846594,6.979201,6.706241,-0.897119,9.421152,5.704230
0.020000,6.916960,22.771770,7.113048,6.692330,-0.695576,10.077143,5.675652
0.020000,7.025588,22.693905,7.246701,6.682651,-0.483967,10.580454,5.646863
0.020000,7.131839,22.613003,7.380246,6.677264,-0.269313,10.732660,5.617956
0.020000,7.235691,22.529074,7.513772,6.676310,-0.047737,11.078817,5.589028
0.020000,7.337125,22.442136,7.647365,6.679637,0.166394,10.706541,5.560173
0.020000,7.436127,22.352213,7.781110,6.687235,0.379865,10.673566,5.531484
0.020000,7.532687,22.259338,7.915086,6.698829,0.579706,9.992051,5.503047
0.020000,7.626798,22.163551,8.049369,6.714166,0.766874,9.358392,5.474947
0.020000,7.718456,22.064900,8.184029,6.732954,0.939400,8.626289,5.447257
0.020000,7.807660,21.963441,8.319126,6.754877,1.096131,7.836581,5.420046
0.020000,7.894413,21.859237,8.454715,6.779453,1.228786,6.632724,5.393372
0.020000,7.978720,21.752358,8.590844,6.806431,1.348935,6.007440,5.367286
0.020000,8.060590,21.642880,8.727548,6.835211,1.438958,4.501175,5.341831
0.020000,8.140036,21.530884,8.864860,6.865611,1.520005,4.052352,5.317039
0.020000,8.217071,21.416458,9.002801,6.897061,1.572524,2.625941,5.292936
0.020000,8.291716,21.299688,9.141391,6.929471,1.620472,2.397417,5.269540
0.020000,8.363992,21.180669,9.280637,6.962312,1.642080,1.080374,5.246862
0.020000,8.433925,21.059492,9.420546,6.995426,1.655678,0.679937,5.224907
0.020000,8.501543,20.936255,9.561115,7.028444,1.650933,-0.237281,5.203674
0.020000,8.566878,20.811052,9.702339,7.061231,1.639332,-0.580057,5.183158
0.020000,8.629964,20.683976,9.844213,7.093699,1.623412,-0.796002,5.163349
0.020000,8.690837,20.555123,9.986721,7.125395,1.584770,-1.932087,5.144236
0.020000,8.749536,20.424581,10.129853,7.156598,1.560169,-1.230023,5.125803
0.020000,8.806101,20.292441,10.273591,7.186898,1.515024,-2.257287,5.108032
0.020000,8.860574,20.158790,10.417917,7.216305,1.470330,-2.234668,5.090905
0.020000,8.910286,20.031063,10.554977,6.852997,-18.165399,-981.786455,5.078981
0.020000,8.966787,19.883425,10.713057,7.904001,52.550203,3535.780075,5.076883
0.020000,9.023175,19.735260,10.871590,7.926633,1.131612,-2570.929523,5.075279
0.020000,9.079521,19.586598,11.030572,7.949101,1.123387,-0.411288,5.074167
0.020000,9.135897,19.437469,11.190001,7.971455,1.117680,-0.285321,5.073543
0.020000,9.192373,19.287901,11.349876,7.993749,1.114729,-0.147562,5.073406
0.020000,9.249022,19.137923,11.510196,8.016028,1.113931,-0.039918,5.073756
0.020000,9.305919,18.987561,11.670963,8.038342,1.115696,0.088270,5.074594
0.020000,9.363137,18.836842,11.832178,8.060743,1.120045,0.217432,5.075922
0.020000,9.420753,18.685792,11.993843,8.083273,1.126490,0.322284,5.077742
0.020000,9.478844,18.534437,12.155963,8.105982,1.135478,0.449375,5.080059
0.020000,9.537489,18.382804,12.318542,8.128937,1.147722,0.612208,5.082877
0.020000,9.596769,18.230919,12.481585,8.152162,1.161250,0.676422,5.086203
0.020000,9.656765,18.078809,12.645099,8.175711,1.177462,0.810574,5.090044
0.020000,9.717562,17.926502,12.809093,8.199664,1.197635,1.008657,5.094408
0.020000,9.779246,17.774026,12.973573,8.224026,1.218113,1.023898,5.099305
0.020000,9.841907,17.621411,13.138550,8.248871,1.242238,1.206230,5.104745
0.020000,9.905634,17.468689,13.304036,8.274260,1.269464,1.361330,5.110740
0.020000,9.970521,17.315892,13.470040,8.300199,1.296955,1.374540,5.117302
0.020000,10.036665,17.163055,13.636576,8.326798,1.329980,1.651253,5.124445
0.020000,10.104165,17.010216,13.803656,8.354035,1.361838,1.592911,5.132184
0.020000,10.173121,16.857414,13.971296,8.382007,1.398610,1.838581,5.140535
0.020000,10.243640,16.704695,14.139511,8.410739,1.436552,1.897121,5.149513
0.020000,10.315829,16.552104,14.308316,8.440242,1.475176,1.931199,5.159137
0.020000,10.389797,16.399693,14.477728,8.470593,1.517553,2.118836,5.169424
0.020000,10.465660,16.247518,14.647764,8.501813,1.560978,2.171232,5.180393
0.020000,10.543533,16.095641,14.818442,8.533888,1.603753,2.138785,5.192064
0.020000,10.623535,15.944129,14.989779,8.566856,1.648416,2.233109,5.204455
0.020000,10.705788,15.793054,15.161793,8.600718,1.693116,2.235041,5.217587
0.020000,10.790414,15.642499,15.334503,8.635463,1.737210,2.204697,5.231479
0.020000,10.877540,15.492552,15.507924,8.671061,1.779944,2.136677,5.246148
0.020000,10.967290,15.343311,15.682073,8.707470,1.820447,2.025166,5.261614
0.020000,11.059790,15.194883,15.856966,8.744625,1.857728,1.864032,5.277892
0.020000,11.155166,15.047383,16.032615,8.782444,1.890965,1.661858,5.294997
